feature,"PolyA, ng/uL","Os-C, uM"
FALSE,35.21339977,4.071749717
FALSE,32.83878359,4.216245662
FALSE,33.64426615,4.250668684
FALSE,34.9659502,4.277355162
FALSE,32.62068046,4.285069645
FALSE,33.89772673,4.285483282
FALSE,36.1731384,4.318249607
FALSE,35.1262156,4.344245857
FALSE,36.71909591,4.428143081
FALSE,37.66631462,4.508147986
FALSE,33.99730968,4.545283128
FALSE,34.39150524,4.561695462
FALSE,33.5709579,4.60597737
FALSE,32.95417488,4.618693201
FALSE,36.20767955,4.740836106
FALSE,35.68127219,4.828225072
FALSE,35.00614996,4.856522138
FALSE,31.8232229,4.899038359
FALSE,34.25831852,4.901404004
FALSE,33.46570186,4.982296052
FALSE,32.6613511,5.015612686
FALSE,30.51034238,5.166418933
FALSE,22.57142263,5.168359845
FALSE,36.44524578,5.202604028
FALSE,32.76759135,5.252733957
FALSE,32.96707416,5.292371007
FALSE,23.71128131,5.414174675
FALSE,22.97709272,5.465879579
FALSE,35.72293791,5.467623983
FALSE,33.96185894,5.529925915
FALSE,34.70818689,5.570484975
FALSE,36.32203801,5.575865986
FALSE,34.87621365,5.590287712
FALSE,37.51601305,5.603761524
FALSE,32.88946058,5.631160111
FALSE,35.90928553,5.659269035
FALSE,34.99762751,5.665331454
FALSE,34.07046992,5.680290414
FALSE,32.56268061,5.726317889
FALSE,33.98766771,5.746246812
FALSE,33.64400707,5.751560903
FALSE,27.50348776,5.769224824
FALSE,33.63147658,5.799591749
FALSE,33.91039234,5.80860834
FALSE,35.38307878,5.834988872
FALSE,24.23061059,5.859979382
FALSE,34.89749481,5.884994661
FALSE,26.14815295,5.889819844
FALSE,37.07743931,5.950560261
FALSE,33.96329198,5.967857409
FALSE,34.04319697,5.969818308
FALSE,37.23791896,5.978661725
FALSE,35.19880656,5.983993947
FALSE,33.31329659,6.014715321
FALSE,32.96063484,6.023822734
FALSE,28.81783125,6.049962581
FALSE,32.46315849,6.066957674
FALSE,36.73381599,6.115714601
FALSE,35.30956831,6.139279055
FALSE,33.35688629,6.152556847
FALSE,31.16479825,6.172357403
FALSE,24.07406645,6.173962776
FALSE,25.39773593,6.188003213
FALSE,37.29703062,6.192498027
FALSE,35.69400113,6.196064995
FALSE,34.58125842,6.201849058
FALSE,33.02738748,6.259709023
FALSE,35.60217591,6.2707863
FALSE,20.7416991,6.271359361
FALSE,25.82820457,6.275028263
FALSE,34.3154544,6.290682826
FALSE,31.96021229,6.303018938
FALSE,26.43556345,6.307740291
