FUS(G156E)-EGFP / μM,PEG 6000 / % (w/w),feature,bis-ANS
1.133624957,5.976284397,TRUE,FALSE
3.022038334,2.091593202,TRUE,FALSE
2.730213633,2.674818892,TRUE,FALSE
1.838726739,3.577396382,TRUE,FALSE
2.37157485,2.562908408,TRUE,FALSE
1.113013588,6.182972636,TRUE,FALSE
1.600270451,4.851156499,TRUE,FALSE
1.398144622,4.65613749,TRUE,FALSE
2.106045651,3.812122166,TRUE,FALSE
1.620098869,4.015442329,TRUE,FALSE
1.434061644,2.944471857,TRUE,FALSE
2.163147032,5.800109228,TRUE,FALSE
1.588643763,4.106726666,TRUE,FALSE
1.392486263,3.450366223,TRUE,FALSE
0.997658694,6.393598029,TRUE,FALSE
2.709635658,2.243070525,TRUE,FALSE
1.274720526,4.801603734,TRUE,FALSE
1.93319445,4.340961966,TRUE,FALSE
0.781694973,6.278464506,TRUE,FALSE
0.688376239,7.220473975,TRUE,FALSE
0.34177181,6.011679185,TRUE,FALSE
1.859122287,5.485227419,TRUE,FALSE
1.715091462,5.635937586,TRUE,FALSE
1.375050755,4.122693984,TRUE,FALSE
1.486443523,4.732407382,TRUE,FALSE
2.651555363,4.539802593,TRUE,FALSE
1.759158547,4.55117218,TRUE,FALSE
1.583740536,4.680352437,TRUE,FALSE
1.915768313,6.597292152,TRUE,FALSE
1.484433101,5.208017012,TRUE,FALSE
1.745128519,4.418562877,TRUE,FALSE
1.907811537,3.977752938,TRUE,FALSE
0.794042386,4.690276333,TRUE,FALSE
0.801975484,6.745497348,TRUE,FALSE
1.313232471,3.890824506,TRUE,FALSE
3.214767366,2.010183136,TRUE,FALSE
3.470217769,0.939847786,TRUE,FALSE
1.334591118,6.047307738,TRUE,FALSE
0.970585018,8.550519016,TRUE,FALSE
0.710933642,4.947202264,TRUE,FALSE
1.476835721,5.224329666,TRUE,FALSE
2.635511961,7.990925775,TRUE,FALSE
3.250879642,6.567478367,TRUE,FALSE
1.360269681,10.20122448,TRUE,FALSE
3.018652351,8.046572383,TRUE,FALSE
0.279684572,5.072746559,TRUE,FALSE
1.402982437,5.174600971,TRUE,FALSE
1.57255926,3.533817794,TRUE,FALSE
1.855711355,3.801880378,TRUE,FALSE
1.658166218,6.146211019,TRUE,FALSE
1.991079509,4.676385657,TRUE,FALSE
1.611015132,3.976451475,TRUE,FALSE
1.878123103,4.755992496,TRUE,FALSE
1.034772795,3.184650571,TRUE,FALSE
1.313903901,4.903403223,TRUE,FALSE
2.017769399,3.750687284,TRUE,FALSE
1.418230155,4.059662392,TRUE,FALSE
1.736728321,4.331780651,TRUE,FALSE
1.716964382,3.39270635,TRUE,FALSE
2.032109501,4.593601511,TRUE,FALSE
2.146513018,4.384128131,TRUE,FALSE
2.783956646,2.142552098,TRUE,FALSE
2.29383326,3.706810472,TRUE,FALSE
1.212099274,2.966894916,TRUE,FALSE
2.679531989,2.39795124,TRUE,FALSE
2.433143352,2.516870748,TRUE,FALSE
0.557044362,4.634169184,TRUE,FALSE
3.4816438,1.685694037,TRUE,FALSE
1.347453699,5.164084318,TRUE,FALSE
1.698754067,3.477686538,TRUE,FALSE
2.709938583,1.752416249,TRUE,FALSE
1.290066714,4.891902464,TRUE,FALSE
1.189484731,8.528458767,TRUE,FALSE
2.682453001,5.713599144,TRUE,FALSE
1.669788688,3.442294804,TRUE,FALSE
1.961371652,3.150933103,TRUE,FALSE
1.906146347,3.982869761,TRUE,FALSE
0.72478674,3.679850354,TRUE,FALSE
2.057454383,2.983591925,TRUE,FALSE
2.355082622,4.336115632,TRUE,FALSE
2.482716847,3.333701301,TRUE,FALSE
1.998345786,4.512602395,TRUE,FALSE
1.066557734,8.359678177,TRUE,FALSE
2.273695532,3.704509348,TRUE,FALSE
1.785549493,4.312315075,TRUE,FALSE
1.339574337,3.313518344,TRUE,FALSE
1.469759192,5.397924673,TRUE,FALSE
1.668096549,3.545189973,TRUE,FALSE
1.762192782,4.259356141,TRUE,FALSE
0.913599041,3.932110682,TRUE,FALSE
0.741492608,4.709257335,TRUE,FALSE
1.682312719,5.029019069,TRUE,FALSE
3.293395396,1.804249414,TRUE,FALSE
1.404451851,5.017094923,TRUE,FALSE
3.069476154,1.905984974,TRUE,FALSE
1.96164341,4.86367301,TRUE,FALSE
2.797206981,2.339939369,TRUE,FALSE
2.143029264,3.716145033,TRUE,FALSE
0.255377096,6.011057044,TRUE,FALSE
2.774570376,2.048497467,TRUE,FALSE
1.791769677,3.661303947,TRUE,FALSE
1.428625427,3.077993924,TRUE,FALSE
1.555881219,4.644965181,TRUE,FALSE
1.639016631,4.602764531,TRUE,FALSE
2.533219741,2.22208962,TRUE,FALSE
2.17085141,4.495927815,TRUE,FALSE
1.075732875,4.336441853,TRUE,FALSE
1.796081851,3.193361339,TRUE,FALSE
1.463398242,4.287784041,TRUE,FALSE
0.816646852,3.77968365,TRUE,FALSE
1.089170836,5.051089897,TRUE,FALSE
1.777343113,2.895712573,TRUE,FALSE
0.220555484,5.65705419,TRUE,FALSE
1.032652214,3.310599322,TRUE,FALSE
0.99618766,1.902912518,TRUE,FALSE
0.719609506,4.387000938,TRUE,FALSE
2.179853965,2.229299924,TRUE,FALSE
3.266469993,1.662261341,TRUE,FALSE
0.592656759,4.716336276,TRUE,FALSE
2.624483279,2.534233654,TRUE,FALSE
1.088537988,1.851648126,TRUE,FALSE
3.921667951,1.903344724,TRUE,FALSE
1.909592049,4.245672784,TRUE,FALSE
0.915372536,6.942604266,TRUE,FALSE
