NSP2 / uM,NSP5 / uM,feature
2.907287674,5.824702404,TRUE
2.674751777,6.572231492,TRUE
2.596041707,6.520539668,TRUE
1.44841522,5.628675186,TRUE
1.397114924,5.228124237,TRUE
2.516162551,2.63471267,TRUE
2.463665492,5.69002853,TRUE
3.803607019,4.806574076,TRUE
4.571847186,4.02874151,TRUE
2.173304094,3.06646833,TRUE
1.209233773,5.577756351,TRUE
2.205352148,6.081224602,TRUE
3.483936618,7.732682986,TRUE
1.095287509,7.310639106,TRUE
4.345510367,3.559519233,TRUE
3.643245175,6.689876634,TRUE
1.589852014,7.178349611,TRUE
5.222914047,3.03830898,TRUE
3.486240746,4.103442286,TRUE
5.605807612,2.836384102,TRUE
2.039382987,6.084103126,TRUE
4.618345155,2.232420862,TRUE
4.49303338,5.164105557,TRUE
0.957593345,6.999058827,TRUE
2.098820236,5.965402549,TRUE
2.739888163,7.568817538,TRUE
1.363340312,7.802399452,TRUE
4.159243615,1.218805697,TRUE
2.97076957,2.641925672,TRUE
2.762421406,6.127391199,TRUE
4.488580683,4.60993315,TRUE
2.610310332,3.008773532,TRUE
1.635823801,6.490480465,TRUE
2.302173723,4.721260239,TRUE
1.993806834,6.862165567,TRUE
0.722513932,6.600873504,TRUE
1.894442657,6.314475763,TRUE
2.4268113,6.109650644,TRUE
3.362149836,4.053960915,TRUE
2.387458605,5.911871808,TRUE
1.544579506,6.852503026,TRUE
1.559270879,5.592798265,TRUE
2.854154545,6.658184365,TRUE
1.561441137,4.878671072,TRUE
2.31694377,4.635899121,TRUE
1.70138704,4.972893892,TRUE
1.134562959,5.278042105,TRUE
1.028385324,6.081212556,TRUE
1.750364887,6.128801563,TRUE
2.807015592,3.348899189,TRUE
5.75986339,4.670131498,TRUE
4.213187486,7.099558151,TRUE
2.614776031,3.037174658,TRUE
2.406043185,6.184700653,TRUE
1.506521523,3.332281501,TRUE
4.117276065,6.685114659,TRUE
2.692058621,2.442292792,TRUE
4.256021335,5.915422542,TRUE
3.997091045,5.439436209,TRUE
1.563366527,7.082768508,TRUE
0.915977128,7.512001325,TRUE
4.945732234,5.534239885,TRUE
2.597119978,6.242131912,TRUE
3.387503006,6.603805462,TRUE
1.765132602,4.615004605,TRUE
5.663514853,2.758644761,TRUE
4.95863882,2.679853899,TRUE
3.2659534,6.417872127,TRUE
1.525685263,6.793213549,TRUE
2.607812401,6.049173134,TRUE
4.958633211,2.325601708,TRUE
3.003689537,4.53337051,TRUE
3.624246675,2.995251603,TRUE
3.409574478,3.820745007,TRUE
3.873917401,5.021670492,TRUE
3.718283089,2.809066035,TRUE
1.81161721,7.927538503,TRUE
2.580668731,5.427482075,TRUE
4.27432092,2.646341853,TRUE
4.438792832,1.985073527,TRUE
2.653218926,6.935342884,TRUE
4.187177454,3.662383036,TRUE
5.360325587,2.211642575,TRUE
1.974447103,2.966609651,TRUE
2.374046871,6.30844939,TRUE
2.828006725,1.839200968,TRUE
1.850264008,7.711365225,TRUE
3.428491425,6.658521587,TRUE
3.149637402,6.705318184,TRUE
4.238026879,6.228754129,TRUE
5.022258502,2.183290374,TRUE
5.951622994,4.101202266,TRUE
3.387273322,5.808775119,TRUE
3.950277728,3.025090511,TRUE
5.040013299,6.00622867,TRUE
4.102367699,4.176043791,TRUE
2.181716717,3.004573451,TRUE
4.963285173,2.747910717,TRUE
3.185220437,3.596019898,TRUE
3.769628803,4.523194003,TRUE
3.674370921,2.706546753,TRUE
2.207389706,3.676443034,TRUE
1.773674997,7.733898234,TRUE
4.350257486,4.411165077,TRUE
3.303377578,6.319313691,TRUE
3.1101129,6.330788024,TRUE
2.916737273,2.639293475,TRUE
4.680602614,1.668448981,TRUE
5.186095161,2.117632808,TRUE
3.078397547,2.538897708,TRUE
0.809230668,5.375929468,TRUE
2.423530032,4.350765411,TRUE
2.083850888,2.8544622,TRUE
3.231392104,4.312323134,TRUE
1.522130013,7.613300148,TRUE
1.58989117,4.966019217,TRUE
1.74555012,3.339602123,TRUE
4.248499431,5.462874945,TRUE
2.138382746,2.564195324,TRUE
5.09141336,5.402604188,TRUE
7.372892497,5.952105572,TRUE
5.341556099,4.255277337,TRUE
2.094059383,5.83835399,TRUE
3.099789124,7.863891501,TRUE
3.954411235,6.6855123,TRUE
1.542991191,4.876605903,TRUE
1.755972629,7.297229787,TRUE
4.498046415,3.9200537,TRUE
6.480661702,5.065625801,TRUE
4.344122125,4.092909006,TRUE
2.915641748,3.413495417,TRUE
1.578666108,3.810255932,TRUE
2.484656813,6.52369129,TRUE
5.646964992,4.84430646,TRUE
2.557968143,7.89000141,TRUE
2.175765594,7.761256308,TRUE
2.395104101,5.332063128,TRUE
1.570739691,5.008638041,TRUE
5.207984504,4.056096362,TRUE
5.717774974,1.266107294,TRUE
2.126770627,6.024227496,TRUE
1.928641526,4.717464909,TRUE
2.257060239,3.329036708,TRUE
5.128400702,5.815738659,TRUE
3.790915635,6.121120106,TRUE
