Whi3 (uM),RNA (uM),RNA type,feature
0.01,0.012496,CLN3,TRUE
0.01,0.01562,CLN3,TRUE
0.01,0.0781,CLN3,TRUE
0.01,0.1562,CLN3,TRUE
0.1,0.001562,CLN3,TRUE
0.1,0.003124,CLN3,TRUE
0.1,0.006248,CLN3,TRUE
0.1,0.00781,CLN3,TRUE
0.1,0.012496,CLN3,TRUE
0.1,0.01562,CLN3,TRUE
0.1,0.02343,CLN3,TRUE
0.1,0.03124,CLN3,TRUE
0.1,0.03905,CLN3,TRUE
0.1,0.04686,CLN3,TRUE
0.1,0.0781,CLN3,TRUE
0.1,0.1562,CLN3,TRUE
0.5,0.001562,CLN3,TRUE
0.5,0.003124,CLN3,TRUE
0.5,0.004686,CLN3,TRUE
0.5,0.006248,CLN3,TRUE
0.5,0.00781,CLN3,TRUE
0.5,0.009372,CLN3,TRUE
0.5,0.010934,CLN3,TRUE
0.5,0.012496,CLN3,TRUE
0.5,0.014058,CLN3,TRUE
0.5,0.01562,CLN3,TRUE
0.5,0.02343,CLN3,TRUE
0.5,0.03124,CLN3,TRUE
0.5,0.03905,CLN3,TRUE
0.5,0.04686,CLN3,TRUE
1,0.001562,CLN3,TRUE
1,0.003124,CLN3,TRUE
1,0.00781,CLN3,TRUE
1,0.012496,CLN3,TRUE
1,0.01562,CLN3,TRUE
1,0.0781,CLN3,TRUE
1,0.1562,CLN3,TRUE
2,0.00781,CLN3,TRUE
2,0.012496,CLN3,TRUE
2,0.01562,CLN3,TRUE
5,0.001562,CLN3,TRUE
5,0.00781,CLN3,TRUE
5,0.01562,CLN3,TRUE
5,0.02343,CLN3,TRUE
5,0.03124,CLN3,TRUE
5,0.0781,CLN3,TRUE
5,0.1562,CLN3,TRUE
10,0.001562,CLN3,TRUE
10,0.0781,CLN3,TRUE
11,0.012496,CLN3,TRUE
12,0.012496,CLN3,TRUE
13,0.012496,CLN3,TRUE
14,0.012496,CLN3,TRUE
15,0.012496,CLN3,TRUE
16,0.012496,CLN3,TRUE
17,0.012496,CLN3,TRUE
18,0.012496,CLN3,TRUE
19,0.012496,CLN3,TRUE
20,0.012496,CLN3,TRUE
21,0.012496,CLN3,TRUE
22,0.012496,CLN3,TRUE
23,0.012496,CLN3,TRUE
24,0.012496,CLN3,TRUE
25,0.012496,CLN3,TRUE
26,0.012496,CLN3,TRUE
27,0.012496,CLN3,TRUE
28,0.012496,CLN3,TRUE
29,0.012496,CLN3,TRUE
30,0.012496,CLN3,TRUE
50,0.001562,CLN3,TRUE
50,0.00781,CLN3,TRUE
50,0.01562,CLN3,TRUE
50,0.0781,CLN3,TRUE
50,0.1562,CLN3,TRUE
0.005,0.01562,CLN3,TRUE
0.5,0.000781,CLN3,TRUE
1,0.000781,CLN3,TRUE
10,0.000781,CLN3,TRUE
100,0.000781,CLN3,TRUE
0.05,0.001562,CLN3,TRUE
0.005,0.00781,CLN3,TRUE
0.005,0.01562,CLN3,TRUE
0.5,0.00781,CLN3,TRUE
0.5,0.01562,CLN3,TRUE
175,0.01562,CLN3,TRUE
0.25,0.001562,CLN3,TRUE
600,0.01562,CLN3,TRUE
50,0.000781,CLN3,TRUE
5,0.000781,CLN3,TRUE
0.1,1.562,CLN3,TRUE
200,1.562,CLN3,TRUE
600,0.01562,CLN3,TRUE
0.01,0.001562,CLN3,FALSE
0.01,0.00781,CLN3,FALSE
0.01,0.0001562,CLN3,FALSE
0.001,0.0001562,CLN3,FALSE
0.001,0.001562,CLN3,FALSE
0.1,0.0001562,CLN3,FALSE
0.1,0.00001562,CLN3,FALSE
1,0.0001562,CLN3,FALSE
1,0.00001562,CLN3,FALSE
10,0.0001562,CLN3,FALSE
10,0.00001562,CLN3,FALSE
100,0.00001562,CLN3,FALSE
0.005,0.0001562,CLN3,FALSE
0.005,0.001562,CLN3,FALSE
0.025,0.0001562,CLN3,FALSE
0.1,0.000781,CLN3,FALSE
0.05,0.0001562,CLN3,FALSE
0.05,0.000781,CLN3,FALSE
0.005,0.001562,CLN3,FALSE
0.002,0.00781,CLN3,FALSE
0.001,0.00781,CLN3,FALSE
0.025,0.000781,CLN3,FALSE
0.5,0.00001562,CLN3,FALSE
0.5,0.0001562,CLN3,FALSE
0.01,0.001562,CLN3,FALSE
0.01,0.00781,CLN3,FALSE
0.005,0.001562,CLN3,FALSE
0.001,0.1562,CLN3,FALSE
0.25,0.0001562,CLN3,FALSE
0.25,0.000781,CLN3,FALSE
0.0175,0.000781,CLN3,FALSE
0.0175,0.001562,CLN3,FALSE
180,0.001562,CLN3,FALSE
300,0.0001562,CLN3,FALSE
100,0.0001562,CLN3,FALSE
50,0.0001562,CLN3,FALSE
5,0.0001562,CLN3,FALSE
0.001,0.01562,CLN3,FALSE
0.005,0.1562,CLN3,FALSE
0.1,0.0001554,BNI1,TRUE
0.1,0.000777,BNI1,TRUE
0.1,0.001554,BNI1,TRUE
0.1,0.00777,BNI1,TRUE
0.1,0.0777,BNI1,TRUE
0.05,0.0001554,BNI1,TRUE
0.05,0.000777,BNI1,TRUE
0.05,0.001554,BNI1,TRUE
0.05,0.00777,BNI1,TRUE
0.05,0.01554,BNI1,TRUE
0.25,0.0777,BNI1,TRUE
0.5,0.0001554,BNI1,TRUE
0.5,0.000777,BNI1,TRUE
0.5,0.001554,BNI1,TRUE
0.5,0.00777,BNI1,TRUE
0.5,0.01554,BNI1,TRUE
0.5,0.0777,BNI1,TRUE
0.5,0.1554,BNI1,TRUE
0.015,0.01554,BNI1,TRUE
1,0.0001554,BNI1,TRUE
1,0.000777,BNI1,TRUE
1,0.001554,BNI1,TRUE
1,0.00777,BNI1,TRUE
1,0.01554,BNI1,TRUE
1,0.0777,BNI1,TRUE
1,0.1554,BNI1,TRUE
10,0.001554,BNI1,TRUE
10,0.00777,BNI1,TRUE
10,0.01554,BNI1,TRUE
10,0.0777,BNI1,TRUE
10,0.1554,BNI1,TRUE
50,0.0001554,BNI1,TRUE
50,0.001554,BNI1,TRUE
50,0.0777,BNI1,TRUE
50,0.1554,BNI1,TRUE
100,0.0001554,BNI1,TRUE
100,0.0777,BNI1,TRUE
150,0.0001554,BNI1,TRUE
150,0.0777,BNI1,TRUE
200,0.0777,BNI1,TRUE
600,0.0777,BNI1,TRUE
0.2,0.0777,BNI1,TRUE
0.1,0.1554,BNI1,TRUE
0.2,0.1554,BNI1,TRUE
0.25,0.1554,BNI1,TRUE
0.1,0.3108,BNI1,TRUE
0.2,0.3108,BNI1,TRUE
0.25,0.3108,BNI1,TRUE
0.02,0.001554,BNI1,TRUE
0.02,0.01554,BNI1,TRUE
0.02,0.1554,BNI1,TRUE
0.05,0.01554,BNI1,TRUE
0.05,0.1554,BNI1,TRUE
0.1,0.00777,BNI1,TRUE
0.25,0.0001554,BNI1,TRUE
0.035,0.000777,BNI1,TRUE
0.035,0.001554,BNI1,TRUE
0.035,0.01554,BNI1,TRUE
0.015,0.01554,BNI1,TRUE
0.015,0.00777,BNI1,TRUE
0.5,0.00011655,BNI1,TRUE
1,0.00011655,BNI1,TRUE
5,0.00011655,BNI1,TRUE
10,0.00011655,BNI1,TRUE
250,0.001554,BNI1,TRUE
0.035,0.3108,BNI1,TRUE
0.02,0.3108,BNI1,TRUE
500,0.001554,BNI1,TRUE
500,0.00777,BNI1,TRUE
500,0.01554,BNI1,TRUE
500,0.0777,BNI1,TRUE
518,0.08547,BNI1,TRUE
1,0.777,BNI1,TRUE
100,0.777,BNI1,TRUE
0.01,0.00001554,BNI1,FALSE
0.01,0.0001554,BNI1,FALSE
0.01,0.001554,BNI1,FALSE
0.01,0.00777,BNI1,FALSE
0.01,0.01554,BNI1,FALSE
0.01,0.0777,BNI1,FALSE
0.05,0.00001554,BNI1,FALSE
0.1,0.00001554,BNI1,FALSE
0.1,0.01554,BNI1,FALSE
0.5,0.000001554,BNI1,FALSE
0.5,0.3108,BNI1,FALSE
1,0.00001554,BNI1,FALSE
1,0.3108,BNI1,FALSE
0.02,0.0001554,BNI1,FALSE
0.25,0.00001554,BNI1,FALSE
0.02,0.000777,BNI1,FALSE
0.02,0.00001554,BNI1,FALSE
0.05,0.0000777,BNI1,FALSE
0.1,0.0000777,BNI1,FALSE
0.25,0.0000777,BNI1,FALSE
0.5,0.00001554,BNI1,FALSE
0.5,0.0000777,BNI1,FALSE
1,0.0000777,BNI1,FALSE
5,0.00001554,BNI1,FALSE
5,0.0000777,BNI1,FALSE
5,0.00000777,BNI1,FALSE
10,0.0000777,BNI1,FALSE
10,0.00001554,BNI1,FALSE
